entrega_id,fecha_planificada,fecha_real,entrega_completa,entrega_a_tiempo,entrega_completa_a_tiempo,costo_preparacion,venta,rotura_stock,pedidos_proveedores,pedidos_retrasados,volumen_stock_recibido,horas_recepcion,tiempo_produccion,tiempo_programado,produccion_real,produccion_teorica,productos_buenos
1,2023-04-13,2023-04-14,True,False,False,2736.9304168724116,133684.50123265755,False,3,1,199,12,8.528699438480952,9,13.936810689540188,14,13.820049929799996
2,2024-01-21,2024-01-21,True,True,True,2620.981135783017,100867.19755342203,False,3,0,287,7,8.344216491858376,9,15.425416114343992,18,15.12272691606215
3,2023-01-21,2023-01-21,True,True,True,2547.562892158568,126646.54342749852,False,2,0,466,11,8.318488828650214,9,11.836776723741808,12,11.398093930693388
4,2024-01-23,2024-01-23,True,True,True,1835.9069755507849,121968.61235869123,False,2,0,369,12,7.914576864265846,9,17.895164465743242,18,17.75605984840521
5,2023-12-04,2023-12-04,True,True,True,2548.208239515129,124191.02105597642,False,1,0,426,13,8.183090049537018,9,14.464081398665186,17,14.330622352664053
6,2024-08-15,2024-08-16,True,False,False,2849.220129605481,121736.02063664804,False,1,0,132,11,7.602609503196328,8,13.432172974509934,14,13.188753437606156
7,2024-06-30,2024-06-30,True,True,True,2986.4817668778937,127955.95463895942,False,3,0,306,14,8.243104277518789,9,10.25657253423612,12,10.070113384757814
8,2024-07-17,2024-07-17,True,True,True,2648.8252242541735,109718.84229412462,False,1,0,286,7,8.838631582670597,9,18.45314308175859,19,18.11490043504117
9,2024-10-07,2024-10-07,True,True,True,2981.320644999851,117903.07563163002,False,1,0,324,5,7.577228144649634,8,17.50863986799073,18,17.38671896487124
10,2023-12-25,2023-12-25,True,True,True,3472.5578072433927,118466.63542483859,False,3,0,195,12,7.284603405269649,8,8.880873120901517,10,8.546453214389308
11,2024-01-21,2024-01-22,True,False,False,2467.8109745995166,123449.02335044729,True,1,0,229,9,8.254507272173674,9,13.294624360900876,15,13.076682623974314
12,2023-07-22,2023-07-22,True,True,True,2431.354498160365,134013.21564693624,False,3,0,196,13,8.33606834859997,9,11.263607297738837,12,11.082017877388619
13,2024-02-07,2024-02-08,True,False,False,2139.8510035705935,117300.6623092431,False,3,1,228,13,7.050885944885256,8,16.885133638988194,19,16.598072897883146
14,2023-12-12,2023-12-11,True,True,True,2531.412299866591,125015.96365346173,False,1,0,403,7,8.847566672757909,9,16.713813751840448,17,16.589236044690562
15,2024-09-16,2024-09-16,True,True,True,2646.5362366493405,112856.48581973632,True,2,0,262,13,8.611441948819174,9,9.240840572775152,10,8.861422151471695
16,2024-05-18,2024-05-18,True,True,True,2911.030079997245,138967.92982653948,False,3,0,257,10,8.180681928300126,9,14.788722272366746,15,14.370493040159143
17,2023-10-04,2023-10-04,True,True,True,1796.7973664092256,119654.70343905191,False,3,1,116,9,8.14971424534485,9,17.873293986964672,18,17.275209159199147
18,2023-10-29,2023-11-03,False,False,False,2273.7688838276654,127770.49794903609,False,4,0,117,13,8.913808945117054,9,18.80054797921087,19,17.926713672577687
19,2024-09-17,2024-09-17,False,True,False,2529.104359223,108570.29702169377,False,1,0,345,11,7.155812172377358,8,18.458823174835665,19,18.336138746517125
20,2024-06-08,2024-06-08,True,True,True,1908.3671892727905,124949.95654191695,False,2,1,242,6,8.241940066074418,9,13.488343501818147,15,12.918489055902292
21,2023-07-09,2023-07-09,True,True,True,2264.034067105283,130889.50596967366,False,1,0,207,9,6.902416957992521,8,11.852140114860523,13,11.67406894582093
22,2024-10-17,2024-10-16,True,True,True,3024.009871997476,113714.30252524294,False,3,0,216,11,7.635169047312438,8,12.02220655056773,14,11.971240646611372
23,2023-04-06,2023-04-06,True,True,True,1869.5580228324775,129178.61947054777,False,3,0,448,11,7.097277187401389,8,11.564122998835865,12,10.994239252538913
24,2023-08-08,2023-08-08,True,True,True,2721.909714073114,127746.34053429337,False,4,1,199,5,8.235699726471264,9,13.71534141807288,16,13.680467235383357
25,2023-04-10,2023-04-10,True,True,True,2529.254451153422,143479.96928450323,False,4,0,435,11,7.685790269231189,9,12.172174646857963,13,11.799809521237252
26,2024-01-15,2024-01-15,True,True,True,2723.144674000959,131362.42317119264,False,3,0,496,6,6.913331552907114,8,10.805797586799708,12,10.61978801101008
27,2024-08-27,2024-08-29,True,False,False,2205.317621527894,128496.02097021024,False,1,1,475,8,7.764177116461818,8,16.779524084769836,18,16.295829924314308
28,2023-07-11,2023-07-11,True,True,True,2316.1186086734865,114522.76517040671,False,4,1,468,11,7.68789051253685,8,10.385622963904678,12,10.335020525396956
29,2023-03-03,2023-03-03,True,True,True,2205.173571656417,117016.98776836293,False,3,0,383,8,7.391630789326166,8,12.09257870924281,14,11.85220298948709
30,2024-04-13,2024-04-14,True,False,False,2150.4267109540415,119911.82953754193,False,3,0,430,6,6.971590018463403,8,18.535347041576514,19,18.411965304118617
31,2023-08-18,2023-08-18,True,True,True,2264.4808471908386,122320.49937357636,False,4,1,441,8,7.936698292860631,8,16.898099594817467,18,16.349095755709804
32,2023-09-09,2023-09-09,True,True,True,1481.4620325139304,135700.32280542672,False,3,0,341,14,7.810404186961897,9,17.309371473746904,18,17.033321121653966
33,2023-12-14,2023-12-19,True,False,False,2845.0719958555565,115987.79528114163,False,4,2,272,9,8.362396497266504,9,12.431279352777407,14,12.241957881956907
34,2024-03-16,2024-03-16,True,True,True,2284.0288991958137,138599.6700648693,False,4,1,111,14,7.728116261972906,9,13.775227693767853,15,13.513589695831657
35,2023-01-08,2023-01-08,True,True,True,1823.7747225450016,114415.7963056724,False,4,2,244,13,7.293448065046624,8,11.680567037261705,12,11.651248763358202
36,2023-09-13,2023-09-13,False,True,False,1884.1346162450873,121895.84920160589,False,2,1,276,9,8.164202656451879,9,14.615619496589657,15,14.300712432554514
37,2024-09-01,2024-09-01,True,True,True,2671.228459003757,139115.2960650943,False,3,1,264,14,8.160098241522311,9,12.846142684151197,14,12.286795563745518
38,2023-02-20,2023-02-20,True,True,True,2667.9743714270803,124944.0928724983,True,3,0,261,10,8.772351511584377,9,10.756099475525591,11,10.515112744703373
39,2024-01-24,2024-01-24,True,True,True,2218.3706942698186,145392.5779121089,False,2,0,202,10,7.66963529865164,9,14.11819766146924,15,13.861701297031548
40,2023-12-01,2023-12-01,False,True,False,2600.067209586711,98291.3417186959,False,3,0,180,9,6.976488177114845,8,16.59733310829771,17,16.405565647157403
41,2023-03-10,2023-03-09,True,True,True,3061.3388423990104,105588.04239504001,False,1,0,435,10,8.515180905484339,9,16.22607873887905,17,15.748757165830488
42,2023-07-14,2023-07-14,False,True,False,1817.167606758172,125041.06859690534,False,2,0,425,5,7.352934521639271,8,18.69851919925339,19,17.88396345916467
43,2024-12-30,2024-12-30,True,True,True,2757.2944953452698,132046.35072575824,False,3,0,436,14,8.738371727720633,9,9.395917123383146,10,9.38946071699006
44,2023-10-30,2023-10-30,True,True,True,1742.4044689007237,133668.74267444524,False,2,0,470,11,7.874248205224639,8,10.0882304052587,11,9.852477170086633
45,2023-01-15,2023-01-15,True,True,True,2629.9607345678646,107089.63929101884,False,2,0,244,8,7.614922782973387,8,11.367881112524838,12,11.072078672720451
46,2023-08-16,2023-08-16,True,True,True,2279.7477205632376,135820.3818296378,False,2,1,419,6,7.227316071077415,8,14.112993343552995,15,13.57474268300947
47,2024-10-23,2024-10-23,True,True,True,3094.400503826103,119586.91569419227,False,4,1,346,7,6.821890977714033,8,13.962995095508074,14,13.343065272806601
48,2023-11-18,2023-11-18,False,True,False,3397.5822783194817,119254.92353468828,False,3,0,272,9,8.956791989780715,9,11.879601055302013,13,11.587131442052018
